,runstring,instability_time,shadow_instability_time,Stable,Mstar,Z12,Z23,mu1,mu2,mu3,e1,e2,e3,h1,h2,h3,k1,k2,k3,ecom,spockprob
344,0000344.bin,5052078.386280154,3798998.112815592,False,0.907,0.0065857787874473404,0.13376919652858937,2.5855721891999996e-05,1.8064879833e-05,5.96645049e-07,0.042499621516021165,0.04656158641865659,0.14984910566686124,0.01816567000000055,0.022145249999999377,-0.14897941000000015,-0.03842169000000038,-0.040958139999999435,-0.016121100000000138,0.042901643713897826,0.6887457966804504
345,0000345.bin,999000000.0050223,999000000.0050223,True,0.907,0.006037584577895224,0.11627323316869388,2.2147359233999996e-05,1.1955264321e-05,1.013794782e-06,0.06740507105018781,0.05272751162638328,0.15878456680510541,-0.0625417199999997,-0.049967519999999835,-0.11191184999999998,0.025139150000000065,0.016835600000000023,-0.11264224999999993,0.062438726270701926,0.8098018765449524
346,0000346.bin,6890648.243889227,4266620.874864068,False,0.907,0.0066302293040489315,0.13031080097206846,2.7161282148e-05,1.4535348828000001e-05,5.3261208e-07,0.06541889023609085,0.06722125356053948,0.12072368991108522,0.052254310000000026,0.05260009999999956,-0.12012793999999939,-0.03935883999999999,-0.04185601999999986,-0.01197862000000013,0.0641078534243328,0.8821613192558289
347,0000347.bin,999000000.0337088,999000000.0337088,True,0.907,0.006206895671326329,0.12631484342116464,2.1005939955e-05,1.3361731383e-05,4.5153107999999997e-07,0.07589508552512847,0.05956911352526356,0.1987238150247727,-0.06399052000000037,-0.05098964000000022,-0.19772820000000021,0.04080781000000022,0.03079831000000027,0.019867399999999816,0.07096033232772869,0.8973865509033203
348,0000348.bin,2652147.757060291,3111438.7203328176,False,0.907,0.006641018161617698,0.13517572676263245,2.7077174123999997e-05,1.5473639180999998e-05,8.83869987e-07,0.05805100302415555,0.05556279175591683,0.12871762478430604,0.05183273000000015,0.05283164999999969,-0.12728978000000035,0.026139760000000022,0.017205830000000352,0.01911907000000013,0.05363733478611388,0.6427400708198547
349,0000349.bin,1000000000.0,999999999.999999,True,0.907,0.006078239519295606,0.1172398105883416,2.3862081242999998e-05,1.1126121005999998e-05,8.115757650000001e-07,0.05110194917261875,0.03997111634234989,0.17794405364256183,-0.0510743500000001,-0.039746509999999624,-0.17738838000000007,0.0016792800000000796,-0.004231440000000066,-0.014051650000000037,0.05041994366138733,0.9457065463066101
350,0000350.bin,7933942.899699656,6225159.151073027,False,0.907,0.006121516258470683,0.11903547388786159,2.3308832547e-05,1.121194074e-05,2.368400034e-06,0.09139966173320506,0.073399951670421,0.1449633395608183,-0.06684437999999937,-0.05358405000000024,-0.11223225000000057,0.06233559999999994,0.05016276000000013,-0.09175124999999988,0.08182949228367388,0.6579753160476685
351,0000351.bin,1000000000.0,1000000000.000001,True,0.907,0.006462206133482496,0.12407996717243203,2.6539129617e-05,1.5310873578e-05,6.71596926e-07,0.03330013285510588,0.03335510954530662,0.16986445058866098,-0.01618940999999978,-0.008400870000000187,0.10238773999999987,-0.029099860000000158,-0.03227985000000003,-0.1355384899999999,0.03393816523152316,0.6797851324081421
352,0000352.bin,999000000.0319897,999000000.0319897,True,0.907,0.006240285507939455,0.07856824958279346,2.4963683745e-05,1.2811236437999999e-05,2.04489285e-07,0.05807136733444893,0.04348482128333222,0.1182928608507714,-0.03838149000000016,-0.028184349999999345,-0.11820989999999985,0.04357917999999989,0.03311452999999969,0.004429499999999904,0.05327524645098362,0.9243665337562561
353,0000353.bin,1000000000.0000002,999999999.9999992,True,0.907,0.006125540686569166,0.10514155045600224,2.5230584378999998e-05,1.2157408263e-05,3.9410471099999995e-07,0.02240908388232787,0.017501922562650093,0.12773548236107438,-0.02169846000000021,-0.01364247000000032,0.09998879999999975,-0.005598559999999779,-0.01096358999999962,-0.07948957999999995,0.01958813517899119,0.8900505304336548
354,0000354.bin,999000000.0078627,2401376.554996672,True,0.907,0.005831236252673196,0.1325265410740313,2.0008076088e-05,1.0672965303e-05,1.754430678e-06,0.16501095461057888,0.14008182881768882,0.06349912077313992,-0.15321568000000002,-0.13096788999999928,0.060741170000000115,0.061266390000000136,0.049702419999999616,0.018510769999999874,0.14520259131732904,0.5497769713401794
355,0000355.bin,1431801.598973082,2244166.9583591614,False,0.907,0.005997774634076772,0.12544786661234786,1.9409731341e-05,1.4640510884999999e-05,5.96329734e-07,0.09708159428993335,0.08264103008574375,0.13514283541713934,-0.09546304000000005,-0.0797489799999999,0.05043692000000024,-0.01765344000000023,-0.02167118000000046,-0.12537823999999995,0.0888783283267219,0.25168973207473755
